Hardware, 51
1954,Criação do Monitor
1958,Criação do Microchip
1973,Invenção do Telefone Celular
1868,Criação do teclado QWERTY,A origem dos teclados com disposição dos dias de hoje foram criados por Christopher Sholes;  por meio das máquinas de escrever e dos perfuradores de cartão.
1926,1º Uso do Joystick Elétrico, Joystick elétrico de dois eixos foi inventado por C. B. Mirick no Laboratório de Pesquisa Naval dos EUA (NRL)
1977,1º Joystick digital,"Desenvolvido para o Atari 2600, foi um dos primeiros joystick digitais; composto por um simples botão de disparo. Suas especificações eletrônicas serviram como base para os vídeo games por muitos anos."
1958, Circuito Integrado
1976, Supercomputador
1990, Laptops
1947,Invenção do transistor
1971,Lançamento do primeiro microprocessador Intel 4004
1981,Lançamento do IBM PC
1804,Criação da máquina de tear de Jacquard
1904,Criação dos tubos de vácuo
1971,Criação dos microprocessadores 
1946, ENIAC: O primeiro computador eletrônico de uso geral, que ocupava uma sala inteira e realizava cálculos complexos para o exército dos EUA.
1971, Lançamento do Intel 4004, o primeiro microprocessador comercial do mundo.
1981, IBM lança o primeiro computador pessoal (PC), popularizando o uso de computadores em escritórios e residências.
1947, Invenção do Transistor, O transistor foi inventado por um grupo de cientistas e revolucionou o hardware de computadores ao substituir as válvulas a vácuo. Isso permitiu a criação de dispositivos melhores e menores. Assim foi iniciada a segunda geração de computadores,
1971, Desenvolvimento dos Microprocessadores, A introdução dos microprocessadores permitiu a criação de computadores pessoais e dispositivos eletrônicos compactos. Este avanço possibilitou a popularização dos computadores pessoais e a expansão do mercado de tecnologia,
1980, Evolução dos Dispositivos de Armazenamento para SSD, A transição de discos rígidos para SSDs (Solid State Drives) melhorou drasticamente a velocidade e a capacidade de armazenamento dos computadores. Essa evolução foi crucial para o desenvolvimento de sistemas operacionais mais complexos e aplicativos de software,
1960,Computadores com transistores
1966,Computadores com circuitos integrados (CHIPs)
1971,Computadores com microprocessadores (VLSI - Very Large Scale of Integration - Escala Muito Larga de Integração).
1946,ENIAC
1958,Circuitos integrados
1981,IBM PC
1943, Criação do computador
1999, Primeira GPU
2007, Apple introduziu o primeiro SSD
1974 , Criação do  Altair 8880
1981 , Criação do Notebook Osborne 1
2006 , Criação do Primeiro Macbook
1964, Lançamento do primeiro videofone de sucesso ocidental Bell’s Mod I Picturephone. Só conseguia exibir imagens em preto e branco e a 30 frames por segundo por apenas quinze minutos.,
1975, Criação da primeira câmera digital do mundo. Não possuía LCD e era necessário colocar a fita cassete (nas quais se formavam as imagens) em um reprodutor portátil ligado a um computador. O computador exibia a imagem em uma tela de TV.,
2006, Lançamento do console Wii. É o console mais emblemático quando se trata de captação de movimentos do jogador pelos controles.,
1946, criação dos primeiros computadores eletrônicos como o ENIAC baseado em válvulas e relês,  
1947, criação do transistor que permitiu que os computadores fossem menores rápidos e eficientes,
1971, surgimento dos microprocessadores que permitiam a criação de computadores pessoais ,
1730,Estudo de condutores e isolantes
1886,Criação do primeiro teclado
1897,Invenção do tubo de raios catódicos
1919, Criação dos fones de ouvido
1977, Criação do Smartwatch
2000, Lançamento do PlayStation 2
1945,Construção do ENIAC (Electronic Numerical Integrator and Computer). Primeiro computador digital eletrônico de grande escala
1977,Lançamento do Apple II. Um dos primeiros computadores pessoais de sucesso comercial
1978,Criação do Microprocessador Intel 8086. Foi um dos primeiros microprocessadores de 16 bits
1968, Criação da Memória RAM
1991, Criação do SSD
1999, Criação roteador WIFI
Software, 55
1985,Criação do Windows
1989,Criação do Python
2001,Lançamento do Windows XP
1949,Criação da Linguagem Assembly,Foi usada na calculadora automática de armazenamento de atraso eletrônico (EDSAC).
1957, Criação da Linguagem FORTRAN,É considerada a linguagem de programação mais antiga em uso atualmente. A linguagem de programação foi criada para cálculos científicos; matemáticos e estatísticos de alto nível.
1988,Lançamento do Programa Mathematica,Um programa de computador que implementa um sistema de álgebra computacional. Além de uma linguagem de programação; contém diversas bibliotecas de programação prontas a serem usadas para diversos fins em várias áreas das ciências exatas.
1992, Criação do Linux
1985, Criação do Windows
2008, Lançamento do Android
1957,Criação da linguagem de programação Fortran
1991,Lançamento do sistema operacional Linux
2007,Lançamento do iOS da Apple
1837,Primeiro programa por Ada Lovelace
1945,Criação do modelo arquitetura de Von Neumann
1958,Utilização da fotolitografia
1985, Lançamento do Windows 1.0, introduzindo uma interface gráfica de usuário amplamente acessível.
1991, Criação do Linux: Linus Torvalds desenvolveu o kernel do Linux, que se tornou a base para o sistema operacional de código aberto mais amplamente utilizado no mundo.
2007, Lançamento do iOS, o sistema operacional da Apple para iPhones, que revolucionou o desenvolvimento de aplicativos móveis.
1950, Criação das Linguagens de Programação de Alto Nível, O desenvolvimento de linguagens como FORTRAN e COBOL facilitou a programação. Isso permitiu que mais pessoas pudessem escrever software sem precisar lidar diretamente com o código de máquina. Isso democratizou o desenvolvimento de software e acelerou a inovação tecnológica,
1980, Surgimento das Interfaces Gráficas de Usuário, A introdução de interfaces gráficas tornou os computadores mais acessíveis ao público em geral. Isso marcou uma mudança significativa na forma como as pessoas interagiam com os computadores. Essa mudança promoveu uma maior adesão à tecnologia em ambientes domésticos e empresariais,
1990, Revolução da Internet e Desenvolvimento de Software para a Web, O surgimento da World Wide Web transformou o desenvolvimento de software e permitiu a criação de aplicativos web e a expansão do comércio eletrônico. Este período também viu o surgimento de novas linguagens de programação e frameworks que facilitaram o desenvolvimento de software para a internet
1843,Ada Lovelace escreve um algoritmo para que a máquina analítica de Babbage pudesse computar a sequência de Bernoulli (o algoritmo é reconhecido pela academia científica como o primeiro programa de computador da história).
1954,Criação da linguagem de programação Fortran
1985,Criação do Windows 1.0
1957,FORTRAN
1991,Linux
2007,iOS
2008,Android
1990, Criação da World Wide Web
1991, Criação do Block Chain
1995, Lançamento do winrar
1985 , Criação do windows
2004 , Criação do facebook
2008 , Android foi lançado
1956, Criação do sistema operacional da General Motors GM-NAA I/O. Primeiro sistema operacional a ser utilizado no computador IBM 704 (utilizado para calculos a larga escala).,
2003, Lançamento do software Skype. Permitiu contato entre usuários por mensagens e videoconferências.,
2005, Criação do Youtube. O aplicativo hospeda vídeos e é o mais utilizado para produção e consumo desse formato de mídia até hoje.
1985, criação do Windows,
1990, começo do desenvolvimento de aplicativos web com javascript e HTML,
2000, criação de novas linguagens e frameworks voltados para a criação de apps móveis,
1822,Modelo  da maquína diferencial de Babbage
1842,Primeiro programa descrito
1871,Confecção da maquína analítica
1990, Lançamento da primeira versão do Office
2005, Lançamento do Google Maps
2022, Lançamento de Elden Ring
1957,Desenvolvimento da Linguagem de Programação FORTRAN. FORmula TRANslation foi a primeira linguagem de programação de alto nível
1985,Lançamento do Microsoft Windows 1.0. Foi a primeira versão de um sistema operacional com interface gráfica (GUI) da Microsoft
1989,Lançamento do Microsoft Office. Inicialmente lançado com uma combinação de aplicativos de escritório
1985, Criação do Windows 1.01 pela Microsoft e suportava apenas 1 MB
1990, Criação do WorldWideWeb (WWW) o primeiro navegador web
1991, Criação do sistema Linux
1995, Lançamento do Windows 95
2000, Lançamento do jogo The Sims
2009, Lançamento do WhatsApp
